"Код;Наименование;Уровень1;Уровень2;Уровень3;Цена;ЦенаСП;Количество;Поля свойств;Совместные покупки;Единица измерения;Картинка;Выводить на главной;Описание"
"Б0001175;Диск отрезной по металлу 180*25*22;Инструменты;Расходники;Абразивный инструмент;4085;4000;62;;;шт;4673;0;"
"Б0001297;Диск отрезной по металлу 230*25*22;Инструменты;Расходники;Абразивный инструмент;6365;6231;36;;;шт;;0;"
"Б0001357;Сетка абразивная  60  (10шт.);Инструменты;Расходники;Абразивный инструмент;12255;11997;9;;;упак;_MG_8162;0;Для шлифовки гипсовой гладигипсокартонных плитшпатлевокштукатурки и окрашенных поверхностей. Используется также для очистки и матовки металладеревапластика и цветных металлов.Покрытие:карбид кремния."
"Б0001358;Сетка абразивная  80  (10шт.);Инструменты;Расходники;Абразивный инструмент;12255;11997;9;;;упак;_MG_8162;0;"
"Б0001359;Сетка абразивная 100  (10шт.);Инструменты;Расходники;Абразивный инструмент;12255;11997;10;;;упак;_MG_8162;0;"
"Б0001003;Сетка абразивная 120  (10шт.);Инструменты;Расходники;Абразивный инструмент;12255;11997;10;;;упак;_MG_8162;0;"
"Б0001360;Сетка абразивная 150  (10шт.);Инструменты;Расходники;Абразивный инструмент;12255;11997;10;;;упак;_MG_8162;0;"
"Б0000748;Сетка абразивная 180  (10шт.);Инструменты;Расходники;Абразивный инструмент;12255;11997;14;;;упак;_MG_8162;0;"
"Б0000140;Сетка абразивная 220  (10шт.);Инструменты;Расходники;Абразивный инструмент;12255;11997;12;;;упак;_MG_8162;0;"
"Б0000149;Шкурка MIRKA MIROX 115мм*50м зерно  40;Инструменты;Расходники;Абразивный инструмент;3800;3720;68.5;;;пог.м;sd_00145;0;"
"Б0000150;Шкурка MIRKA MIROX 115мм*50м зерно  60;Инструменты;Расходники;Абразивный инструмент;5130;5022;34;;;пог.м;sd_00145;0;"
"Б0000151;Шкурка MIRKA MIROX 115мм*50м зерно  80;Инструменты;Расходники;Абразивный инструмент;5035;4930;60;;;пог.м;sd_00145;0;"
"Б0000152;Шкурка MIRKA MIROX 115мм*50м зерно 100;Инструменты;Расходники;Абразивный инструмент;3610;3540;54;;;пог.м;sd_00145;0;"
"Б0000153;Шкурка MIRKA MIROX 115мм*50м зерно 120;Инструменты;Расходники;Абразивный инструмент;3610;3540;26;;;пог.м;sd_00145;0;"
"Б0000154;Шкурка MIRKA MIROX 115мм*50м зерно 150;Инструменты;Расходники;Абразивный инструмент;3610;3540;65;;;пог.м;sd_00143;0;"
"Б0000155;Шкурка MIRKA MIROX 115мм*50м зерно 180;Инструменты;Расходники;Абразивный инструмент;3610;3540;52;;;пог.м;sd_00143;0;"
"Б0000156;Шкурка MIRKA MIROX 115мм*50м зерно 240;Инструменты;Расходники;Абразивный инструмент;3610;3540;47;;;пог.м;sd_00143;0;"
"Б0026119;Бур усиленный SDS+ 12х160;Инструменты;Расходники;Бурысверла;18050;17670;1;;;шт;sd_00152;0;"
"Б0002137;Бур усиленный SDS+ 12х210;Инструменты;Расходники;Бурысверла;32680;31992;3;;;шт;sd_00152;0;"
"Б0026217;Бур усиленный SDS+ 12х260 мм;Инструменты;Расходники;Бурысверла;40185;39339;4;;;шт;;0;"
"Б0001864;Бур усиленный SDS+ 14х260;Инструменты;Расходники;Бурысверла;47595;46593;3;;;шт;sd_00152;0;"
"Б0001286;Бур усиленный SDS+ 6х160;Инструменты;Расходники;Бурысверла;22515;22041;2;;;шт;;0;"
"Б0003379;Бур усиленный SDS+ 8х160;Инструменты;Расходники;Бурысверла;20425;19995;5;;;шт;;0;"
"Б0002680;Бур усиленный SDS+ 8х210;Инструменты;Расходники;Бурысверла;19950;19530;5;;;шт;;0;"
"Б0001413;Сверло для бетона 12х400;Инструменты;Расходники;Бурысверла;16340;15996;3;;;шт;sd_00155;0;"
